fecha,anio,mes,periodo,sistema_abastecimiento,nivel_almacenamiento_pct,afluencias_m3s,precipitacion_mm,temperatura_c,consumo_m3s,irca,clasificacion_riesgo,municipio,departamento,latitud,longitud,cobertura_acueducto_pct,nivel_servicio,tipo_region,decision_racionamiento
2024-09-29,2024,9,2024-T3,Tibitoc,30.1,15.83,2.3,15.3,16.97,3.4,Sin riesgo (0-5),Chia,Cundinamarca,4.8531,-74.0706,91.4,Intermitente,Regional,Racionamiento cada 9 dias
2024-11-29,2024,11,2024-T4,Chingaza,43.5,7.52,4.8,15.4,14.8,0,Sin riesgo (0-5),Tocancipa,Cundinamarca,4.9642,-73.906,97.6,Intermitente,Regional,Racionamiento cada 18 dias
2023-10-28,2023,10,2023-T4,N/A,21.1,14.65,,19.5,12.28,11.36,Bajo riesgo (5-14),Pereira,Risaralda,4.8209,-75.6856,70.7,Continuo,Nacional,Sin restriccion
2021-01-06,2021,1,2021-T1,Chingaza,69.5,25.24,1.1,12.2,17.16,9.44,Bajo riesgo (5-14),Bogota D.C.,Bogota D.C.,4.6035,-74.0885,92.5,Continuo,Regional,Sin restriccion
2024-05-17,2024,5,2024-T2,Chingaza,39.1,15.47,1.8,11.9,16.17,3.64,Sin riesgo (0-5),Cajica,Cundinamarca,4.9135,-74.039,96.9,Sin servicio,Regional,Racionamiento cada 9 dias
2020-02-01,2020,2,2020-T1,Chingaza,59.6,15.54,1.1,11.9,18.17,3.19,Sin riesgo (0-5),Cajica,Cundinamarca,4.9088,-74.0392,91.0,Continuo,Regional,Sin restriccion
2022-09-12,2022,9,2022-T3,N/A,73.9,23.4,3.7,19.7,14.24,8.73,Bajo riesgo (5-14),Villavicencio,Meta,4.1452,-73.6438,54.4,Intermitente,Nacional,Sin restriccion
2021-02-20,2021,2,2021-T1,Sur,65.2,19.22,1.1,12.2,18.15,3.95,Sin riesgo (0-5),Cajica,Cundinamarca,4.9162,-74.0113,98.3,Continuo,Regional,Sin restriccion
2024-05-03,2024,5,2024-T2,N/A,44.7,10.91,2.9,17.3,10.39,,Bajo riesgo (5-14),Pereira,Risaralda,4.8427,-75.6827,79.6,Continuo,Nacional,Sin restriccion
2020-07-04,2020,7,2020-T3,Sur,75.7,11.54,2.0,15.3,17.97,0.0,Sin riesgo (0-5),Tocancipa,Cundinamarca,4.9986,-73.9146,89.4,Continuo,Regional,Sin restriccion
2022-06-23,2022,6,2022-T2,N/A,75.2,21.5,2.1,,4.83,10.47,Bajo riesgo (5-14),Ibague,Tolima,4.4483,-75.2219,73.5,Intermitente,Nacional,Sin restriccion
2023-10-06,2023,10,2023-T4,Sur,45.2,9.79,1.9,17.8,14.71,9.31,Bajo riesgo (5-14),Tocancipa,Cundinamarca,4.9549,-73.9244,95.9,Continuo,Regional,Sin restriccion
2024-07-11,2024,7,2024-T3,Tibitoc,36.2,21.22,0,14.6,17.47,7.05,Bajo riesgo (5-14),Tocancipa,Cundinamarca,4.9574,-73.9008,96.5,Continuo,Regional,Racionamiento cada 18 dias
2020-05-03,2020,5,2020-T2,Chingaza,83.7,8.79,3.3,13.5,18.2,5.05,Bajo riesgo (5-14),Chia,Cundinamarca,4.8507,-74.0489,100,Continuo,Regional,Sin restriccion
2021-02-13,2021,2,2021-T1,Sur,65.5,20.37,1.1,12.1,18.84,4.59,Sin riesgo (0-5),Soacha,Cundinamarca,4.5864,-74.2118,96.4,Continuo,Regional,Sin restriccion
2020-04-18,2020,4,2020-T2,Chingaza,76.5,17.72,3.8,14.1,19.67,0,Sin riesgo (0-5),Mosquera,Cundinamarca,4.7068,-74.2206,96.8,Continuo,Regional,Sin restriccion
2025-07-05,2025,7,2025-T3,Chingaza,81.6,20.64,0.6,17.4,17.22,2.29,Sin riesgo (0-5),Mosquera,Cundinamarca,4.7199,-74.2311,86.8,Sin servicio,Regional,Suspension temporal del racionamiento
2019-08-10,2019,8,2019-T3,Chingaza,74.5,11.33,2.1,15.5,15.47,7.38,Bajo riesgo (5-14),Funza,Cundinamarca,4.705,-74.2147,94.5,Continuo,Regional,Sin restriccion
2019-06-30,2019,6,2019-T2,Chingaza,120.1,12.35,1.6,14.6,17.93,8.85,Bajo riesgo (5-14),Madrid,Cundinamarca,4.7347,-74.2581,94.1,Continuo,Regional,Sin restriccion
2019-05-08,2019,5,2019-T2,Sur,77.4,18.18,3.2,15.8,19.87,8.8,Bajo riesgo (5-14),Soacha,Cundinamarca,4.5787,-74.2147,92.2,Continuo,Regional,Sin restriccion
2024-01-16,2024,1,2024-T1,Sur,36.3,20.18,0,12.5,14.58,8.54,Bajo riesgo (5-14),Cajica,Cundinamarca,4.9164,-74.0394,98.1,Continuo,Regional,Sin restriccion
2024-11-15,2024,11,2024-T4,Tibitoc,37.3,13.47,2.6,14.6,15.38,6.17,Bajo riesgo (5-14),Tocancipa,Cundinamarca,4.9745,-73.9154,98.6,Racionado,Regional,Racionamiento cada 18 dias
2021-01-15,2021,1,2021-T1,N/A,45.5,21.22,9.1,11.5,7.95,43.54,Inviabile sanitariamente (>40),Cucuta,Norte de Santander,7.8691,-72.4847,74.6,Continuo,Nacional,Sin restriccion
2019-07-12,2019,7,2019-T3,Sur,77.9,21.69,1.1,14.8,17.17,8.73,Bajo riesgo (5-14),Cajica,Cundinamarca,4.925,-74.0278,94.8,Continuo,Regional,Sin restriccion
2025-07-16,2025,7,2025-T3,Chingaza,66.4,7.15,0.6,15.8,16.91,2.73,Sin riesgo (0-5),Bogota D.C.,Bogota D.C.,4.6181,-74.0967,93.2,Continuo,Regional,Suspension temporal del racionamiento
2024-07-04,2024,7,2024-T3,N/A,36.9,9.93,2.2,13.1,10.23,26.44,Riesgo medio (14-28),Barranquilla,Atlantico,10.9917,-74.7857,76.3,Intermitente,Nacional,Sin restriccion
2020-09-14,2020,9,2020-T3,N/A,29.2,18.21,9.9,27.5,12.69,13.02,Bajo riesgo (5-14),Cucuta,Norte de Santander,7.8924,-72.4841,100,Continuo,Nacional,Sin restriccion
2022-10-29,2022,10,2022-T4,Tibitoc,60.6,8.43,3.2,16.3,15.15,1.69,Sin riesgo (0-5),Soacha,Cundinamarca,4.5951,-74.2098,92.7,Continuo,Regional,Sin restriccion
2023-03-17,2023,3,2023-T1,N/A,59.8,8.72,6.3,31.6,13.42,34.88,Alto riesgo (28-40),Bucaramanga,Santander,7.1221,-73.1064,76.2,Intermitente,Nacional,Sin restriccion
2025-07-24,2025,7,2025-T3,Chingaza,78.4,16.45,0.6,16.2,18.02,12.08,Bajo riesgo (5-14),Madrid,Cundinamarca,4.737,-74.2711,99.7,Intermitente,Regional,Suspension temporal del racionamiento
2020-01-03,2020,1,2020-T1,Tibitoc,74.1,11.79,1.1,12.5,17.63,-4.38,Bajo riesgo (5-14),Soacha,Cundinamarca,4.5832,-74.2086,96.1,Continuo,Regional,Sin restriccion
2022-04-15,2022,4,2022-T2,Sur,74.1,24.51,3.5,10.3,18.4,3.93,Sin riesgo (0-5),Sopo,Cundinamarca,4.7547,-73.9408,95.9,Continuo,Regional,Sin restriccion
2019-05-30,2019,5,2019-T2,Chingaza,78.4,21.93,4.9,12.4,19.41,4.23,Sin riesgo (0-5),Mosquera,Cundinamarca,4.6993,-74.2311,92.1,Continuo,Regional,Sin restriccion
2019-08-29,2019,8,2019-T3,N/A,43.9,23.83,2.1,28.6,9.87,36.97,Alto riesgo (28-40),Pereira,Risaralda,4.7975,-75.671,74.1,Continuo,Nacional,Sin restriccion
2024-04-29,2024,4,2024-T2,N/A,20.1,27.62,8.2,23.0,6.85,42.08,Inviabile sanitariamente (>40),Barranquilla,Atlantico,10.9126,-74.8167,80.0,Intermitente,Nacional,Sin restriccion
2021-06-19,2021,6,2021-T2,Sur,89.6,7.34,3.3,12.0,18.78,9.27,Bajo riesgo (5-14),Soacha,Cundinamarca,4.5857,-74.22,95.3,Continuo,Regional,Sin restriccion
2024-03-31,2024,3,2024-T1,Chingaza,48.4,6.52,0.9,12.9,17.84,12.67,Bajo riesgo (5-14),Cajica,Cundinamarca,4.9161,-74.0379,94.9,Continuo,Regional,Sin restriccion
2023-04-19,2023,4,2023-T2,Chingaza,50.9,11.8,3.9,11.0,19.68,4.68,Sin riesgo (0-5),Funza,Cundinamarca,4.6993,-74.2206,96.8,Continuo,Regional,Sin restriccion
2025-09-15,2025,9,2025-T3,N/A,68.8,21.4,0.7,24.2,2.44,48.86,Inviabile sanitariamente (>40),Monteria,Cordoba,8.7519,-75.8759,54.7,Continuo,Nacional,Sin restriccion
2019-01-10,2019,1,2019-T1,Chingaza,55.5,16.54,0.9,12.9,16.72,9.05,Bajo riesgo (5-14),Chia,Cundinamarca,4.8638,-74.0562,93.9,Continuo,Regional,Sin restriccion
2024-03-03,2024,3,2024-T1,Chingaza,40.2,2.83,0.9,12.4,16.78,3.46,Sin riesgo (0-5),Funza,Cundinamarca,4.7145,-74.195,98.4,Continuo,Regional,Sin restriccion
2019-04-27,2019,4,2019-T2,Sur,70.3,16.57,4.4,12.5,20.47,9.84,Bajo riesgo (5-14),Funza,Cundinamarca,4.7087,-74.216,89.6,Continuo,Regional,Sin restriccion
2023-03-31,2023,3,2023-T1,Sur,43.1,21.62,1.2,12.4,16.75,-2.8,Sin riesgo (0-5),Sopo,Cundinamarca,4.7625,-73.9328,95.7,Continuo,Regional,Sin restriccion
2025-01-27,2025,1,2025-T1,Tibitoc,48.9,7.16,0.4,11.4,15.81,12.22,Bajo riesgo (5-14),Tocancipa,Cundinamarca,4.9599,-73.9171,97.0,Continuo,Regional,Suspension temporal del racionamiento
2020-09-21,2020,9,2020-T3,N/A,28.0,19.24,2.8,23.2,6.84,48.48,Inviabile sanitariamente (>40),Cali,Valle del Cauca,3.476,-76.5262,78.9,Intermitente,Nacional,Sin restriccion
2020-07-08,2020,7,2020-T3,N/A,32.0,28.55,3.4,16.4,13.64,5.47,Bajo riesgo (5-14),Bello,Antioquia,6.3364,-75.5438,58.9,Intermitente,Nacional,Sin restriccion
2025-08-14,2025,8,2025-T3,Chingaza,68.4,19.7,2.1,14.7,16.54,3.15,Sin riesgo (0-5),Bogota D.C.,Bogota D.C.,4.6331,-74.0922,96.2,Intermitente,Regional,Suspension temporal del racionamiento
2020-11-05,2020,11,2020-T4,Sur,63.0,9.43,3.3,15.1,15.52,7.95,Bajo riesgo (5-14),Bogota D.C.,Bogota D.C.,4.6108,-74.0953,93.3,Continuo,Regional,Sin restriccion
2022-07-10,2022,7,2022-T3,N/A,59.3,24.9,5.1,22.3,7.17,9.9,Bajo riesgo (5-14),Barranquilla,Atlantico,10.9525,-74.7887,69.3,Continuo,Nacional,Sin restriccion
2021-01-21,2021,1,2021-T1,Sur,64.4,16.86,1.1,12.3,17.18,0,Sin riesgo (0-5),Bogota D.C.,Bogota D.C.,4.6098,-74.0676,91.4,Continuo,Regional,Sin restriccion
15/08/2023,2023,8,2023-T3,Tibitoc,53.9,15.44,3.1,15.5,16.1,6.01,Bajo riesgo (5-14),Chia,Cundinamarca,4.8569,-74.0567,97.1,Continuo,Regional,Sin restriccion
2025-01-25,2025,1,2025-T1,Chingaza,48.6,17.25,2.1,11.4,16.25,5.78,Bajo riesgo (5-14),Soacha,Cundinamarca,4.5777,-74.2186,93.4,Sin servicio,Regional,Campana de ahorro
2021-03-24,2021,3,2021-T1,N/A,45.9,27.55,6.1,24.2,11.08,,Riesgo medio (14-28),Ibague,Tolima,4.4481,-75.2379,79.2,Continuo,Nacional,Sin restriccion
2019-08-15,2019,8,2019-T3,Tibitoc,65.0,23.11,1.2,17.7,16.45,0.68,Sin riesgo (0-5),Chia,Cundinamarca,4.8529,-74.0488,90.4,Continuo,Regional,Sin restriccion
2019-06-09,2019,6,2019-T2,Chingaza,80.0,18.75,1.6,12.2,18.27,3.23,Sin riesgo (0-5),Mosquera,Cundinamarca,4.7233,-74.2299,92.8,Continuo,Regional,Sin restriccion
2021-06-23,2021,6,2021-T2,Sur,82.5,8.68,1.8,14.9,17.27,8.14,Bajo riesgo (5-14),Sopo,Cundinamarca,4.7511,-73.9407,92.0,Continuo,Regional,Sin restriccion
2023-01-24,2023,1,2023-T1,Tibitoc,44.5,11.91,1.7,15.1,15.51,3.49,Sin riesgo (0-5),Soacha,Cundinamarca,4.5769,-74.212,98.7,Continuo,Regional,Sin restriccion
2024-06-08,2024,6,2024-T2,N/A,29.2,13.92,4.6,24.0,11.96,30.1,Alto riesgo (28-40),Armenia,Quindio,4.5206,-75.702,90.6,Continuo,Nacional,Sin restriccion
2024-03-17,2024,3,2024-T1,Tibitoc,44.2,16.82,1.0,11.2,16.71,5.9,Bajo riesgo (5-14),Madrid,Cundinamarca,4.7536,-74.2644,97.3,Continuo,Regional,Sin restriccion
2022-11-11,2022,11,2022-T4,Tibitoc,64.5,18.52,3.3,14.1,15.21,4.34,Sin riesgo (0-5),Cajica,Cundinamarca,4.9054,-74.0248,98.4,Continuo,Regional,Sin restriccion
2025-07-14,2025,7,2025-T3,N/A,26.5,13.84,2.7,25.1,3.91,6.36,Bajo riesgo (5-14),Pereira,Risaralda,4.8172,-75.68,64.1,Intermitente,Nacional,Sin restriccion
2019-05-29,2019,5,2019-T2,Chingaza,76.5,9.6,5.7,14.2,18.14,-2.59,Sin riesgo (0-5),Sopo,Cundinamarca,4.7623,-73.9354,97.0,Continuo,Regional,Sin restriccion
2022-05-08,2022,5,2022-T2,Chingaza,88.0,20.57,3.3,14.0,18.01,7.52,Bajo riesgo (5-14),Sopo,Cundinamarca,4.766,-73.9383,96.9,Continuo,Regional,Sin restriccion
2024-08-23,2024,8,2024-T3,N/A,90.7,20.11,10.3,23.5,14.7,49.83,Inviabile sanitariamente (>40),Ibague,Tolima,4.4354,-75.1856,51.4,Intermitente,Nacional,Sin restriccion
2022-04-18,2022,4,2022-T2,Chingaza,74.2,14.15,7.0,12.9,18.48,5.39,Bajo riesgo (5-14),Mosquera,Cundinamarca,4.7123,-74.2324,97.5,Continuo,Regional,Sin restriccion
2021-10-14,2021,10,2021-T4,N/A,69.7,29.6,5.3,16.7,14.25,46.94,Inviabile sanitariamente (>40),Pereira,Risaralda,4.8301,-75.7076,65.6,Continuo,Nacional,Sin restriccion
2025-03-24,2025,3,2025-T1,Sur,56.0,7.35,4.9,8.1,18.32,2.32,Sin riesgo (0-5),Tocancipa,Cundinamarca,4.9482,-73.9159,92.3,Intermitente,Regional,Racionamiento cada 9 dias
2019-01-23,2019,1,2019-T1,N/A,37.7,6.95,10.1,24.2,11.88,34.77,Alto riesgo (28-40),Pasto,Narino,1.2393,-77.2881,71.8,Continuo,Nacional,Sin restriccion
08-04-2022,2022,8,2022-T3,Sur,74.2,19.06,,18.1,16.87,11.61,Bajo riesgo (5-14),Sopo,Cundinamarca,4.7666,-73.9436,93.9,Continuo,Regional,Sin restriccion
2023-05-13,2023,5,2023-T2,N/A,21.4,12.97,3.4,17.6,13.28,13.95,Bajo riesgo (5-14),Ibague,Tolima,4.388,-75.2165,84.4,Continuo,Nacional,Sin restriccion
2020-06-17,2020,6,2020-T2,Sur,78.2,13.01,2.4,13.5,17.55,7.93,Bajo riesgo (5-14),Chia,Cundinamarca,4.8537,-74.0543,97.7,Continuo,Regional,Sin restriccion
2023-07-19,2023,7,2023-T3,N/A,21.4,20.21,4.4,24.6,6.43,53.45,Inviabile sanitariamente (>40),Villavicencio,Meta,4.1678,-73.6445,69.1,Intermitente,Nacional,Sin restriccion
2019-10-18,2019,10,2019-T4,N/A,47.5,26.92,5.3,24.3,13.0,17.01,Riesgo medio (14-28),Cali,Valle del Cauca,3.4309,-76.5466,76.6,Continuo,Nacional,Sin restriccion
2020-09-07,2020,9,2020-T3,N/A,32.7,28.55,8.1,14.1,3.75,38.09,Alto riesgo (28-40),Neiva,Huila,2.9223,-75.2739,52.7,Intermitente,Nacional,Sin restriccion
2020-07-29,2020,7,2020-T3,Tibitoc,82.6,13.64,1.2,16.8,16.6,10.36,Bajo riesgo (5-14),Tocancipa,Cundinamarca,4.9705,-73.922,91.2,Continuo,Regional,Sin restriccion
2022-11-10,2022,11,2022-T4,Sur,51.4,15.56,3.3,14.9,16.06,11.38,Bajo riesgo (5-14),Bogota D.C.,Bogota D.C.,4.6092,-74.071,93.7,Continuo,Regional,Sin restriccion
2019-08-10,2019,8,2019-T3,N/A,84.3,24.85,1.1,,13.69,51.5,Inviabile sanitariamente (>40),Pereira,Risaralda,4.8134,-75.6969,88.6,Continuo,Nacional,Sin restriccion
2022-11-18,2022,11,2022-T4,Tibitoc,56.5,8.3,5.3,15.9,16.63,2.74,Sin riesgo (0-5),Mosquera,Cundinamarca,4.7121,-74.2275,99.2,Continuo,Regional,Sin restriccion
2020-01-17,2020,1,2020-T1,N/A,31.3,26.03,2.1,18.5,6.98,48.79,Inviabile sanitariamente (>40),Neiva,Huila,2.9128,-75.2731,74.0,Intermitente,Nacional,Sin restriccion
2023-01-25,2023,1,2023-T1,Sur,44.0,22.38,0,14.6,17.31,6.85,Bajo riesgo (5-14),Madrid,Cundinamarca,4.7197,-74.2617,96.1,Continuo,Regional,Sin restriccion
2019-06-02,2019,6,2019-T2,Tibitoc,86.8,21.84,1.6,,17.05,9.89,Bajo riesgo (5-14),Cajica,Cundinamarca,4.9084,-74.0114,92.3,Continuo,Regional,Sin restriccion
2025-06-30,2025,6,2025,N/A,,,,,,,,Bolivia,,,,53.2,,Global,
2025-06-29,2025,6,2025-T2,N/A,46.3,13.25,8.9,21.1,14.7,38.03,Alto riesgo (28-40),Bello,Antioquia,6.3382,-75.5588,82.1,Intermitente,Nacional,Sin restriccion
2020-10-11,2020,10,2020-T4,Sur,57.1,12.63,3.1,17.4,16.92,4.98,Sin riesgo (0-5),Cajica,Cundinamarca,4.9135,-74.0224,91.7,Continuo,Regional,Sin restriccion
2019-05-27,2019,5,2019-T2,Sur,73.0,13.01,3.2,13.4,17.74,4.33,Sin riesgo (0-5),Tocancipa,Cundinamarca,4.9488,-73.9015,96.7,Continuo,Regional,Sin restriccion
2022-05-01,2022,5,2022-T2,N/A,83.1,7.76,10.5,26.5,7.37,23.96,Riesgo medio (14-28),Sincelejo,Sucre,9.3182,-75.3998,71.2,Continuo,Nacional,Sin restriccion
2019-08-18,2019,8,2019-T3,Tibitoc,66.3,18.19,1.2,14.3,16.93,0,Sin riesgo (0-5),Tocancipa,Cundinamarca,4.9704,-73.9147,98.4,Continuo,Regional,Sin restriccion
2025-03-25,2025,3,2025-T1,N/A,48.8,18.19,8.5,21.5,5.09,10.97,Bajo riesgo (5-14),Villavicencio,Meta,4.1518,-73.6384,85.8,Continuo,Nacional,Sin restriccion
2025-07-10,2025,7,2025-T3,N/A,45.9,25.77,9.1,12.5,11.12,50.67,Inviabile sanitariamente (>40),Cucuta,Norte de Santander,7.8608,-72.4839,80.1,Continuo,Nacional,Sin restriccion
2022-12-14,2022,12,2022-T4,N/A,69.5,8.39,,20.8,3.06,25.03,Riesgo medio (14-28),Barranquilla,Atlantico,10.992,-74.7579,100,Intermitente,Nacional,Sin restriccion
2025-02-12,2025,2,2025-T1,Sur,49.1,20.9,3.2,11.1,17.2,9.42,Bajo riesgo (5-14),Sopo,Cundinamarca,4.7632,-73.9633,95.3,Racionado,Regional,Campana de ahorro
2022-02-12,2022,2,2022-T1,N/A,89.7,14.1,4.3,21.9,10.2,37.83,Alto riesgo (28-40),Bello,Antioquia,6.3745,-75.5339,70.8,Continuo,Nacional,Sin restriccion
2021-10-04,2021,10,2021-T4,N/A,39.2,16.03,6.8,33.0,5.24,48.88,Inviabile sanitariamente (>40),Bucaramanga,Santander,7.0978,-73.1031,83.6,Intermitente,Nacional,Sin restriccion
2022-07-06,2022,7,2022-T3,Chingaza,78.0,17.81,5.0,14.5,16.55,1.12,Sin riesgo (0-5),Mosquera,Cundinamarca,4.6882,-74.2348,93.3,Continuo,Regional,Sin restriccion
2025-11-21,2025,11,2025-T4,Sur,54.0,4.57,2.7,14.8,17.06,2.44,Sin riesgo (0-5),Mosquera,Cundinamarca,4.6949,-74.2432,92.4,Racionado,Regional,Suspension temporal del racionamiento
2022-12-14,2022,12,2022-T4,Tibitoc,59.9,16.12,1.4,13.2,17.55,4.49,Sin riesgo (0-5),Cajica,Cundinamarca,4.9103,-74.032,95.4,Continuo,Regional,Sin restriccion
2022-08-11,2022,8,2022-T3,N/A,23.7,18.48,5.1,19.2,13.25,14.81,Riesgo medio (14-28),Bello,Antioquia,6.3424,-75.589,90.2,Intermitente,Nacional,Sin restriccion
2023-03-27,2023,3,2023-T1,Sur,44.8,10.36,1.2,12.0,17.59,0,Sin riesgo (0-5),Mosquera,Cundinamarca,4.7053,-74.229,94.7,Continuo,Regional,Sin restriccion
2024-03-05,2024,3,2024-T1,Tibitoc,46.0,9.67,3.2,11.1,18.25,4.07,Sin riesgo (0-5),Cajica,Cundinamarca,4.9227,-74.0246,96.2,Continuo,Regional,Sin restriccion
2019-12-30,2019,12,2019-T4,Chingaza,57.6,5.15,1.2,13.7,14.88,3.72,Sin riesgo (0-5),Bogota D.C.,Bogota D.C.,4.6161,-74.0865,92.2,Continuo,Regional,Sin restriccion
2024-08-02,2024,8,2024-T3,N/A,64.3,12.64,5.0,26.5,9.71,47.2,Inviabile sanitariamente (>40),Cali,Valle del Cauca,3.4877,-76.5794,76.2,Continuo,Nacional,Sin restriccion
2020-08-04,2020,8,2020-T3,Tibitoc,71.8,15.24,1.8,17.2,14.99,9.61,Bajo riesgo (5-14),Funza,Cundinamarca,4.7165,-74.2274,96.8,Continuo,Regional,Sin restriccion
2024-10-15,2024,10,2024-T4,Sur,45.3,16.55,1.6,16.6,15.29,1.3,Sin riesgo (0-5),Soacha,Cundinamarca,4.5769,-74.2069,93.5,Sin servicio,Regional,Racionamiento cada 18 dias
2021-04-20,2021,4,2021-T2,Chingaza,75.0,14.78,3.5,11.6,19.3,10.02,Bajo riesgo (5-14),Madrid,Cundinamarca,4.7329,-74.2599,97.3,Continuo,Regional,Sin restriccion
2021-03-10,2021,3,2021-T1,Chingaza,62.8,20.88,2.4,13.6,19.06,10.15,Bajo riesgo (5-14),Mosquera,Cundinamarca,4.7085,-74.2375,99.4,Continuo,Regional,Sin restriccion
2023-11-12,2023,11,2023-T4,N/A,67.4,13.63,0,29.9,3.1,13.3,Bajo riesgo (5-14),Cali,Valle del Cauca,3.4596,-76.5325,90.0,Intermitente,Nacional,Sin restriccion
2022-05-25,2022,5,2022-T2,Chingaza,88.1,15.16,4.9,11.8,17.58,0.68,Sin riesgo (0-5),Madrid,Cundinamarca,4.7351,-74.266,96.5,Continuo,Regional,Sin restriccion
2023-01-19,2023,1,2023-T1,N/A,60.2,22.58,8.0,22.9,5.5,20.45,Riesgo medio (14-28),Sincelejo,Sucre,9.3291,-75.3889,44.9,Continuo,Nacional,Sin restriccion
2024-07-29,2024,7,2024-T3,N/A,90.5,26.8,0,,14.1,42.2,Inviabile sanitariamente (>40),Ibague,Tolima,4.4484,-75.2342,68.1,Intermitente,Nacional,Sin restriccion
2021-09-22,2021,9,2021-T3,Tibitoc,65.1,7.01,2.1,16.6,15.29,11.85,Bajo riesgo (5-14),Madrid,Cundinamarca,4.7406,-74.2786,93.9,Continuo,Regional,Sin restriccion
